사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
고용승계 증빙서류 문의는 어디 곳에 해야 하죠?,128,128,similarity,"[('고용승계 증빙서류 문의는 어디에 해야 되나요?', 0.8627450980392157)]",TRUE,
고용승계 증빙서류에 대한 문의는 어디에서 답변하나요?,128,128,similarity,"[('고용승계 증빙서류에 대한 문의는 어디에 하지?', 0.8888888888888888)]",TRUE,
집합건물 전력 관련 단전금지가처분소송 판례 보기,68,68,similarity,"[('공동건물 전력 관련 단전금지가처분소송 승소한 판례 보기', 0.8571428571428571)]",TRUE,
공사비용 관련 구상금청구소송 판례 찾기,100,100,similarity,"[('공사비 관련 구상금 청구소송 판례', 0.8717948717948718)]",TRUE,
공사비용 환불 관련 청구소송 판례 모두 찾기,167,167,similarity,"[('공사비용 반환에 관련된 청구소송 판례 모두 보기', 0.88)]",TRUE,
내채공 온라인 청약 신청 방법,287,287,similarity,"[('공제 온라인 청약신청 방법', 0.8666666666666667)]",TRUE,
공제부금 적립에 제한이 존재하나요?,297,297,similarity,"[('공제부금 적립금에 제한이 있나요?', 0.8648648648648649)]",TRUE,
환승투어 안내해줘,154,154,similarity,"[('공항 환승투어 안내해줘', 0.8571428571428571)]",TRUE,
공항에 어떤 항공사들 있음요?,76,76,similarity,"[('공항에 어떤 항공사가 있어요?', 0.875)]",TRUE,
공항 근처에서 탑승할 수 있는 교통수단 알려줘,75,75,similarity,"[('공항에서 이용할 수 있는 교통수단 알려줘', 0.851063829787234)]",TRUE,
과실상계 적용된 무단점용 송전선제거 관련 부당이득반환청구소송 판례 찾아줘,294,294,similarity,"[('과실상계 적용된 송전선제거 관련 부당이득반환청구소송 판례를 보여줘', 0.868421052631579)]",TRUE,
교통약자 우대서비스 이용시간범위 알려줘,184,184,similarity,"[('교통약자우대서비스 이용시간 알려줘', 0.9230769230769231)]",TRUE,
구비서류 발급일 기준이 어떻게 돼?,185,185,similarity,"[('구비 서류 발급일 기준이 어떻게 돼?', 0.9743589743589743), ('구비서류 발급기간 기준이 어떻게 돼?', 0.9230769230769231), ('구비서류 제출 시 발급일 기준이 어떻게 돼?', 0.8837209302325582)]",TRUE,
나 할거 추천좀,242,242,similarity,"[('나 할일 추천좀', 0.875)]",TRUE,
나이가 어떻게 돼요?,300,300,similarity,"[('나이가 어떻게 돼?', 0.9523809523809523), ('너 나이가 어떻게 돼?', 0.8695652173913043), ('나이가 어떻게 되나요?', 0.8695652173913043)]",TRUE,
납부예정 안내메일 재발행 가능해요?,233,233,similarity,"[('납부예정 안내메일 재발송 가능한가요?', 0.8717948717948718)]",TRUE,
납부예정일 안내메일 다시 보내줄 수 있어?,233,233,similarity,"[('납부예정일 안내 메일을 다시 보내줄 수 있나요?', 0.8979591836734694)]",TRUE,
치과 있나요?,218,218,similarity,"[('내과 있나요?', 0.8571428571428571)]",TRUE,
내일채움공제 가입 과정은?,3,3,similarity,"[('내일채움공제 가입과정', 0.88), ('내일채움공제 가입 대상은?', 0.8571428571428571)]",TRUE,
내일채움공제 가입하려면 특별한 조건이 있어요?,269,269,similarity,"[('내일채움공제 가입하려고 하는데 특별한 조건이 있나요?', 0.8518518518518519)]",TRUE,
내일채움공제는 어떤 사람들을 대상으로하나요,269,269,similarity,"[('내일채움공제 상품은 어떤 사람을 대상으로 하나요', 0.8571428571428571)]",TRUE,
너 나이 궁금해,300,300,similarity,"[('너 나이가 궁금해', 0.9411764705882353)]",TRUE,
너미워,207,207,similarity,"[('너 미워', 0.8571428571428571)]",TRUE,
너는 어떻게 써?,164,164,similarity,"[('너 어떻게 써?', 0.9411764705882353)]",TRUE,
누가 내일채움공제에 가입할 수 있나요,269,269,similarity,"[('누가 내일채움공제 가입할 수 있나요', 0.9743589743589743)]",TRUE,
도급물품 관련 양수금청구소송이란?,171,171,similarity,"[('도급물품 관련 양수금소송이란?', 0.9411764705882353)]",TRUE,
도급물품 입찰관련 반환소송 사례,166,166,similarity,"[('도급물품 입찰관련 소송 판례', 0.875)]",TRUE,
도급물품 입찰자에 대한 소송 판례,166,166,similarity,"[('도급물품의 입찰보증금에 대한 소송 판례', 0.8717948717948718), ('도급물품 입찰처리절차에 대한 소송 판례', 0.8717948717948718), ('도급물품 입찰계약에 대한 이의소송 판례', 0.8717948717948718), ('도급물품의 입찰액에 대한 소송 사례', 0.8648648648648649), ('도급물품 입찰계약 해지에 대한 소송 판례', 0.85)]",TRUE,
도급물품의 입찰자에 대한 소송 판례,166,166,similarity,"[('도급물품의 입찰보증금에 대한 소송 판례', 0.9), ('도급물품의 입찰액에 대한 소송 사례', 0.8947368421052632), ('도급물품 입찰처리절차에 대한 소송 판례', 0.85), ('도급물품 입찰계약에 대한 이의소송 판례', 0.85)]",TRUE,
도급물품 입찰취소에 대한 소송 사례,166,166,similarity,"[('도급물품의 입찰액에 대한 소송 사례', 0.8947368421052632)]",TRUE,
서울도시터미널 어떻게 쓰는거야?,23,23,similarity,"[('도시터미널은 어떻게 쓰는거야?', 0.9090909090909091)]",TRUE,
도심공항 터미널 이란?,289,289,similarity,"[('도심공항 터미널이란?', 0.9565217391304348)]",TRUE,
도심공항에서 탑승수속 할수있어?,281,281,similarity,"[('도심공항에서 탑승수속 할 수있지?', 0.9142857142857143)]",TRUE,
도심 공항 터미널 위치는?,188,188,similarity,"[('도심공항터미널 위치는', 0.88)]",TRUE,
도심터미널이 뭐야?,289,289,similarity,"[('도심공항터미널이 뭐야?', 0.9090909090909091)]",TRUE,
도심터미널은 여행객만 이용가능해?,197,197,similarity,"[('도심터미널은 여행객만 이용가능해요?', 0.972972972972973)]",TRUE,
동식물검역에 대해서 어디에 물어봐?,108,108,similarity,"[('동물 검역에 대해서 어디다 물어봐?', 0.8947368421052632)]",TRUE,
로밍 어디가서 해,91,91,similarity,"[('로밍 어디서 해', 0.9411764705882353)]",TRUE,
SKT로밍센터 위치 알려줘,91,91,similarity,"[('로밍센터 위치 알려줘', 0.88)]",TRUE,
만 나이 계산,192,192,similarity,"[('만나이 계산', 0.9230769230769231)]",TRUE,
폐기물로 인한 토지손해배상청구소송 진행 판례,176,176,similarity,"[('매립폐기물로 인한 토지손해배상청구소송 관련 판례', 0.88)]",TRUE,
매매사기로 인해 진행된 토지소유권이전등기청구소송 관련 판례,170,170,similarity,"[('매매사기로 인한 소유권이전등기청구소송 관련 판례', 0.8620689655172413)]",TRUE,
매표소 어디야 버스,19,19,similarity,"[('매표소 어디야? 심야버스', 0.8695652173913043)]",TRUE,
면세점 세액 면제는 얼마까지 되나요?,44,44,similarity,"[('면세점 세액 면제는 얼마까지 되나요', 0.9743589743589743)]",TRUE,
면세점 교환은 언제까지 가능해요?,130,130,similarity,"[('면세품 교환은 언제까지 가능해?', 0.9142857142857143)]",TRUE,
면세품 면세 한도 범위 알려줘요,44,44,similarity,"[('면세품 면세 가능한 범위 알려줘', 0.8823529411764706)]",TRUE,
면세품 최대 얼마까지 면세 돼요?,44,44,similarity,"[('면세품은 최대 얼마까지 면세가 돼요?', 0.9473684210526315)]",TRUE,
언제까지 물어볼 수 있어?,255,255,similarity,"[('몇시까지 물어볼 수 있어?', 0.8571428571428571)]",TRUE,
물품 공급 관련 양수금소송 대표 판례 보기,171,171,similarity,"[('물품 공급 계약 관련건 양수금소송 판례 보기', 0.851063829787234)]",TRUE,
물품공급 후 대금을 받지 못했을 때 관련있는 청구소송 판례 보기,257,257,similarity,"[('물품대금을 받지 못했을 때 관련된 청구소송 판례 보기', 0.875)]",TRUE,
뭐가 중요해? 세관신고할때,299,299,similarity,"[('뭐가 중요해? 세관신고시에', 0.8571428571428571)]",TRUE,
부당한 방송수신료부과처분취소소송 관련 판례,212,212,similarity,"[('방송수신료부과처분취소소송 관련 판례', 0.9047619047619048)]",TRUE,
방송수신료통합징수권한부존재확인소송과 관련된 판례 보여줘,210,210,similarity,"[('방송수신료통합징수권한부존재확인소송 관련 판례', 0.8888888888888888)]",TRUE,
방송수신료통합징수권한부존재확인소송에 인용된 방송법 내용,210,210,similarity,"[('방송수신료통합징수권한부존재확인소송에 적용된 방송법 시행령 내용', 0.90625)]",TRUE,
전력공급선로 관련 손해배상청구소송에서 청구권 인정 판례 보고싶어,163,163,similarity,"[('배전선로 관련 손해배상청구소송에서 청구권 인정 판례', 0.8571428571428571)]",TRUE,
배전선로 이설비용청구소송에서 청구권한 부정 판례 알려주세요,117,117,similarity,"[('배전선로 이설부담금청구소송에서 청구권한이 인정된 판례 알려주세요', 0.8656716417910447)]",TRUE,
배전시설 이설부담금청구소송에서 청구권 기각 판례 모아줘,117,117,similarity,"[('배전시설 이설부담금청구소송에서 청구권한 인정 판례 찾아줘', 0.8852459016393442)]",TRUE,
전력분배시설 이설부담금청구소송에서 청구권 적용한 판례 알려주세요,117,117,similarity,"[('배전시설 이전부담금청구소송에서 청구권한 적용한 판례 알려주세요', 0.8985507246376812)]",TRUE,
배전설비 이설비용청구소송에서 청구권 부정 판례 검색해줘,117,117,similarity,"[('배전장치 이설비용청구소송에서 청구권한 인정 판례 검색해줘', 0.8852459016393442)]",TRUE,
부당한 실시계획승인처분에 대해 취소소송 제기한 경우의 판례,43,43,similarity,"[('법률 위반한 실시계획승인처분에 대해 취소소송 제기한 경우 판례', 0.8787878787878788)]",TRUE,
변상금부과처분취소소송에서 변상금부과날짜에 대한 판례,58,58,similarity,"[('변상금부과처분취소소송에서 변상금 부과 기준에 대한 판례', 0.896551724137931), ('변상금부과처분취소소송에서 변상금부과 예외사유에 대한 판례', 0.8813559322033898)]",TRUE,
변상금부과처분취소소송의 청구요건에 대한 판례,58,58,similarity,"[('변상금부과처분취소소송의 구성요건에 대한 판례 찾아줘', 0.8846153846153846)]",TRUE,
변상금청구소송의 강제성에 대한 판례,27,27,similarity,"[('변상금청구소송의 성립요건에 대한 판례', 0.8717948717948718)]",TRUE,
병원어딨어,218,218,similarity,"[('병원 어딨어', 0.9090909090909091)]",TRUE,
병적증명서는 내야 하나요?,190,190,similarity,"[('병적증명서 꼭 내야 하나?', 0.8571428571428571)]",TRUE,
보상금 산출에 오류가 있어 수용재결처분 취소소송 제기한 경우 판례,55,55,similarity,"[('보상금산정에 착오가 있어 수용재결처분취소소송 청구한 경우 판례', 0.8571428571428571)]",TRUE,
보상금증액청구소송의 유효성 여부에 대한 판례,148,148,similarity,"[('보상금증액청구소송의 효력에 대한 판례', 0.8636363636363636)]",TRUE,
보안검색할때 코트벗어야되?,121,121,similarity,"[('보안검색할때 겉옷벗어야되?', 0.8571428571428571)]",TRUE,
본사랑 지사를 별개로 두고 중소기업으로 인정할 수 있나,270,270,similarity,"[('본사 지사를 개별적으로 중소기업으로 인정할 수 있나', 0.8620689655172413)]",TRUE,
부서지기 쉬운 물건은 포장 어떻게 해요?,90,90,similarity,"[('부서지기 쉬운 물건은 포장어떻게 해요?', 0.9767441860465116)]",TRUE,
무단점유한 송전선철거 관련 부당이득반환청구소송에서 권리남용 기각한 판례,294,294,similarity,"[('불법점유한 송전선철거 관련 부당이득금반환청구소송에서 권리남용 기각 판례 알고싶어', 0.8674698795180723), ('무단설치한 송전선철거 관련 부당이득금반환청구소송에서 권리남용 기각 판결문 검색', 0.8536585365853658)]",TRUE,
토지에 대한 소유권확인소송 관련 판례,206,206,similarity,"[('사정받은 토지에 대한 소유권확인소송 관련 판례', 0.8888888888888888), ('미등기토지에 대한 소유권확인소송 관련 판례 보기', 0.8695652173913043)]",TRUE,
설비불량으로 정전사고 발생시 손배상청구소송에서 인과관계 관련 대법원 판례,39,39,similarity,"[('설비불량으로 정전사고 발생시 손배상청구소송에서 인과관계 불분명한 경우 판례', 0.8641975308641975)]",TRUE,
세관 신고서는 받고나서 어떻게 써?,111,111,similarity,"[('세관 신고서 받고 나서 어떻게 써?', 0.9473684210526315)]",TRUE,
세관신고 질문 어디에해?,123,123,similarity,"[('세관신고 문의는 어디에 해?', 0.8571428571428571)]",TRUE,
내 세금이 얼마나 나올까?,115,115,similarity,"[('세금이 얼마나 나올까?', 0.9230769230769231), ('세금이 얼마나 나올까', 0.88)]",TRUE,
수신료분리고지거부처분취소소송 중 원고가 패소한 판례,93,93,similarity,"[('수신료분리고지거부처분취소소송 원고 패소 판결', 0.8846153846153846)]",TRUE,
수입이 금지된 식물이 뭐가 있나요?,161,161,similarity,"[('수입이 금지된 식물도 있나요?', 0.8571428571428571)]",TRUE,
수행기관 연계 서류제출 요청이 진행되는 과정,37,37,similarity,"[('수행기관 연계 서류제출 요청 과정', 0.8571428571428571)]",TRUE,
수행기관 연계 서류제출 요청 관련 조항,37,37,similarity,"[('수행기관 연계 서류제출 요청 관련 규정', 0.9047619047619048), ('수행기관 연계 서류제출 요청 관련 정보', 0.9047619047619048), ('수행기관 연계 서류제출 요청 관련 내용', 0.9047619047619048), ('수행기관 연계 서류제출 요청 관련 과정', 0.9047619047619048), ('수행기관 연계 서류제출 요청 사항', 0.8717948717948718)]",TRUE,
수행기관 연계 서류제출 요청은 어디서 담당해?,37,37,similarity,"[('수행기관 연계 서류제출 요청은 왜 해?', 0.8695652173913043)]",TRUE,
t1 순환버스 시간표 보여줘,29,29,similarity,"[('순환버스 시간표 보여줘요', 0.8571428571428571)]",TRUE,
쉬는날 뭐할까요?,242,242,similarity,"[('쉬는날 뭐할까?', 0.9411764705882353)]",TRUE,
여객 검역은 어떻게 하는지 설명해줘,151,151,similarity,"[('식물 검역 어떻게 하는지 설명해줘', 0.8648648648648649)]",TRUE,
식물 중에 수입 금지된 대상이 어떤 거야?,161,161,similarity,"[('식물 중에 수입이 금지된 게 어떤거야?', 0.8636363636363636)]",TRUE,
평등의 원칙에 위배된 수용재결처분에 대해 취소소송 청구한 경우 판례,55,55,similarity,"[('신뢰보호의 원칙에 반한 수용재결처분에 대해 취소소송 청구한 경우 판례', 0.8533333333333334)]",TRUE,
알고싶은게 있어,74,74,similarity,"[('알고싶은게있어', 0.9333333333333333)]",TRUE,
어떤 방법으로 주 업종을 판단하나요?,298,298,similarity,"[('어떤 방법으로 주 업종을 판단해?', 0.8947368421052632)]",TRUE,
어떤 서비스를 제공해?,74,74,similarity,"[('어떤 서비스 제공해?', 0.9565217391304348)]",TRUE,
동일기업집단인지 알 수 있어?,253,253,similarity,"[('어떻게 동일기업집단인지 알 수 있어?', 0.8888888888888888)]",TRUE,
언제까지 내일채움공제를 지원해야돼?,45,45,similarity,"[('언제까지 내일채움공제를 지원하지?', 0.8648648648648649)]",TRUE,
너 언제까지 대답해줘?,255,255,similarity,"[('언제까지 대답해줘?', 0.9090909090909091)]",TRUE,
여쭤볼게있어요,74,74,similarity,"[('여쭤볼게 있어요', 0.9333333333333333)]",TRUE,
여행자보험가입하는곳있어?,200,200,similarity,"[('여행자보험가입할수있는곳있어?', 0.8571428571428571)]",TRUE,
예상세금금액 얼마나올까,115,115,similarity,"[('예상세금 얼마나올까?', 0.8695652173913043)]",TRUE,
예매어디서해? 환승투어,189,189,similarity,"[('예약어디서 해? 환승투어', 0.88)]",TRUE,
온라인 청약 시 서류 첨부 권장 사항,2,2,similarity,"[('온라인 청약 시 서류첨부 관련 사항', 0.8717948717948718)]",TRUE,
온라인 청약신청 후 연봉 오 기재를 바로잡는 법,62,62,similarity,"[('온라인 청약신청 후 연봉 오 기재를 고치는 법', 0.9019607843137255)]",TRUE,
온라인 청약신청 후 연봉을 다시 기재하고 싶어,62,62,similarity,"[('온라인 청약신청 후 연봉을 수정하고 싶어', 0.851063829787234)]",TRUE,
온라인 청약신청 후 수정절차,273,273,similarity,"[('온라인 청약신청한 후 수정 절차', 0.9375), ('온라인 청약신청 후 수정방법', 0.8666666666666667)]",TRUE,
외국 통화 반입시 제한 범위 체크 할래,295,295,similarity,"[('외국 통화 수출시 제한 범위 체크 할래', 0.9047619047619048)]",TRUE,
외국법인도 중소기업에 속할 수 있나요,227,227,similarity,"[('외국법인도 중소기업에 해당할 수가 있나요', 0.9047619047619048)]",TRUE,
위약금을 청구한 사례 중 계약종별 위반에 대한 내용,219,219,similarity,"[('위약금을 청구하는 소송 판례 중 계약종별 위반에 대한 내용', 0.8666666666666667)]",TRUE,
유모차?빌리는데?얼마인가요?,277,277,similarity,"[('유모차?빌리는데?얼마죠?', 0.8571428571428571)]",TRUE,
유아?기내식이?따로?나오나요?,42,42,similarity,"[('유아기내식이?따로?있나요?', 0.8666666666666667)]",TRUE,
증여를 원인으로 한 토지소유권이전등기청구소송 사례,170,170,similarity,"[('유증을 원인으로한 토지소유권이전등기청구소송 판례', 0.8679245283018868)]",TRUE,
일끝나고 뭐할까?,242,242,similarity,"[('이따 일끝나고 뭐할까?', 0.8571428571428571)]",TRUE,
인가처분취소소송의 취소사유 관련 대법원 판례 알려주세요,267,267,similarity,"[('인가처분취소청구소송의 제소기간 관련 대법원 판례 알려주세요', 0.8709677419354839), ('인가처분취소청구소송 관련 대법원 판례 알려주세요', 0.8571428571428571)]",TRUE,
인가처분취소소송의 제소기관 관련 대법원 판례 찾아주세요,267,267,similarity,"[('인가처분취소청구소송의 제소기간 관련 대법원 판례 알려주세요', 0.8709677419354839)]",TRUE,
인천공항에 항공사 알려줘,76,76,similarity,"[('인천공항에 있는 항공사 알려줘', 0.896551724137931), ('인천공항 취항사 알려줘', 0.88)]",TRUE,
인천에서 취항하는 항공사에대해 알려줘,76,76,similarity,"[('인천공항에서 취항하는 항공사들 알려줘', 0.85)]",TRUE,
인천공항 취항하는 항공사들 다 알려줘,76,76,similarity,"[('인천공항에서 취항하는 항공사들 알려줘', 0.9), ('인천공항에서 운항하는 항공사들 알려줘', 0.85)]",TRUE,
인천공항에서 일본가는 비행기 알려줘,303,303,similarity,"[('인천에서 가는 비행기 알려줘', 0.8823529411764706)]",TRUE,
임대료부과처분취소소송에서 임대료 산정기준에 대한 대법원 판례 보여줘,165,165,similarity,"[('임대료부과처분취소소송에서 임대료 산정 기준에 대한 판례', 0.8656716417910447)]",TRUE,
기내에서?물건?잃어버렸는데?어디에?문의해요?,159,159,similarity,"[('입국장에서?물건?잃어버렸는데?어디에?문의해요?', 0.8979591836734694)]",TRUE,
자동 수화물 기계는 어디에 설치되어있죠?,86,86,similarity,"[('자동 수화물 기계는 어디에 설치되어있어요?', 0.9333333333333333)]",TRUE,
천재로 인한 정전사고 회피가능성에 대해 다툰 손배상청구소송 관련 대법원 판례,15,15,similarity,"[('자연재해로 인한 정전사고 회피가능성에 대해 다툰 손배상청구소송 판례', 0.8607594936708861)]",TRUE,
법률무효로 실시계획승인무효확인소송 청구한 경우 판례,34,34,similarity,"[('적용법률의 착오로 실시계획승인무효확인소송 청구한 경우 판례', 0.8666666666666667)]",TRUE,
전기요금 보증금 납부 중 보증금반환청구 소송을 진행한 판례,46,46,similarity,"[('전기 보증금 납부 후 보증금반환청구소송 진행한 사례', 0.8666666666666667)]",TRUE,
전력배분선로 관련 소멸시효 지난 부당이득금반환청구소송 판례 알려주세요,213,213,similarity,"[('전력공급설비 관련 소멸시효 지난 부당이득금반환청구소송 판례 알려주세요', 0.8947368421052632), ('전력배분장치 관련 소멸시효 지난 부당이득반환청구소송 판례 검색해주세요', 0.868421052631579)]",TRUE,
전부금청구소송 중 물품대금과 관련된 것,224,224,similarity,"[('전부금청구소송 중 물품대금 미지급과 관련된 것', 0.9130434782608695)]",TRUE,
전부금청구소송 재판 결과 모두 보기,224,224,similarity,"[('전부금청구소송 판례 모두 보기', 0.8571428571428571)]",TRUE,
전선주제거 손해배상청구재판에서 간접강제를 선고한 재판례,230,230,similarity,"[('전신주제거 손배상청구소송에서 간접강제를 선고한 판례', 0.8620689655172413)]",TRUE,
전자파피해 손해율을 측정한 손배상청구 소송 판결례 찾기,280,280,similarity,"[('전자파 피해 피해율을 측정한 손해배상청구소송 판례 찾기', 0.9)]",TRUE,
전자파피해 손해배상청구 소송 판례가 변경 사례 검색해줘,280,280,similarity,"[('전자파피해 손해배상청구 소송의 판례 변경 사례 검색해줘', 0.9666666666666667)]",TRUE,
전봇대제거 손배상청구재판에서 간접강제를 결정한 판례,230,230,similarity,"[('전주제거 손해배상청구소송에서 간접강제를 결정한 판례', 0.8571428571428571)]",TRUE,
전봇대철거 손해배상청구재판에서 간접강제를 명령한 판결 선례,230,230,similarity,"[('전주철거 손배상청구재판에서 간접강제를 명령한 판결례', 0.9)]",TRUE,
전선주철거 손배상청구재판에서 간접강제를 명령한 단례,230,230,similarity,"[('전주철거 손배상청구재판에서 간접강제를 명령한 판결례', 0.9285714285714286)]",TRUE,
전환 대상자에 포함되는 계약 성립일 기준,50,50,similarity,"[('전환 대상자에 포함되는 계약 성립일은 언제지?', 0.851063829787234)]",TRUE,
전환 대상자에 포함되려면 계약 성립일이 언제까지지?,50,50,similarity,"[('전환 대상자에 포함되는 계약 성립일은 언제지?', 0.8679245283018868)]",TRUE,
전환신청 후 접수내역 체크 절차,249,249,similarity,"[('전환신청 후 접수내역 확인 절차', 0.8823529411764706)]",TRUE,
전환신청 후 접수내역은 어떻게 체크해?,249,249,similarity,"[('전환신청 후 접수내역 확인은 어떻게 해?', 0.8837209302325582)]",TRUE,
전환신청 후 접수내역을 알기 위한 절차,249,249,similarity,"[('전환신청 후 접수내역을 알기 위한 방법', 0.9047619047619048)]",TRUE,
타당하지 못한 행정처분에 대해 집행정지신청 청구한 판례 알려줘,152,152,similarity,"[('정당하지 못한 행정처분에 대해 집행정지신청한 판례 ', 0.8709677419354839)]",TRUE,
정보공개거부처분취소소송의 필요성에 대해 명시한 대법원 판례 검색,96,96,similarity,"[('정보공개거부처분취소소송의 필요성에 대해 명시한 판례 검색하기', 0.9117647058823529)]",TRUE,
정부지원금 적립을 신청할 때 어떤 서류가 필수 인가요?,239,239,similarity,"[('정부지원금 적립 신청할 때 어떤 서류가 필요해?', 0.8928571428571429)]",TRUE,
정전사고 관련 채무부존재확인소송에서 소멸시효 관련 판례가 위헌인 경우,271,271,similarity,"[('정전사고 관련 채무부존재확인소송에서 소멸시효 관련 판례 변경된 경우', 0.9066666666666666)]",TRUE,
정전사고 관련 채무부존재확인소송에서 과실책임 관련 대법원 판례,271,271,similarity,"[('정전사고 관련 채무부존재확인소송에서 소송요건 관련 대법원 판례', 0.8823529411764706)]",TRUE,
정전사고에 대한 채무부존재확인소송에서 채무인정범위 관련 대법원?판례,271,271,similarity,"[('정전사고에 대한 채무부존재확인소송에서 채무인정범위 관련 판례 찾아줘', 0.8918918918918919)]",TRUE,
제1여객터미널에 단기주차장 알려줘,129,129,similarity,"[('제1여객터미널 단기 주차장 위치 알려줘', 0.8717948717948718)]",TRUE,
주 업종 판단시 근거,298,298,similarity,"[('주 업종 판단 근거', 0.9523809523809523)]",TRUE,
주차 대행 서비스 이용하면 얼마낼 각?,228,228,similarity,"[('주차 대행 서비스 이용하면 얼마야?', 0.9)]",TRUE,
주차장 요금은 얼마입니까?,110,110,similarity,"[('주차 요금은 얼마입니까?', 0.9629629629629629)]",TRUE,
주차대행은 어떻게 신청해?,103,103,similarity,"[('주차대행 어떻게 해?', 0.88)]",TRUE,
중소기업 판단 기준알려줘,223,223,similarity,"[('중견기업 판단 기준 알려줘', 0.8888888888888888)]",TRUE,
중소기업 여부 판단 시 지점 기준으로 요건을 충족할 수 있을까요?,270,270,similarity,"[('중소기업 여부 판단 시 개별 사업장 기준으로 요건을 충족할 수 있을까요?', 0.8947368421052632)]",TRUE,
중소기업에 외국법인은 포함안돼죠?,227,227,similarity,"[('중소기업에 외국법인도 포함돼?', 0.8823529411764706)]",TRUE,
지장이설에 대한 공사비용 내역에 대해 반환청구소송할 수 있을까요?,182,182,similarity,"[('지장물 이설에 대한 공사비 내역에 대해 반환받을 수 있을까요?', 0.8571428571428571)]",TRUE,
챗봇 쓰는법은?,164,164,similarity,"[('챗봇 쓰는 법은?', 0.9411764705882353)]",TRUE,
챗봇은 어떻게 쓰는거임?,164,164,similarity,"[('챗봇 어떻게 쓰는거야?', 0.88)]",TRUE,
챗봇은 어떻게 쓰는거야?,164,164,similarity,"[('챗봇 어떻게 쓰는거야?', 0.96)]",TRUE,
챗봇 어떻게 써?,164,164,similarity,"[('챗봇은 어떻게 써?', 0.9473684210526315), ('챗봇 이거 어떻게 써?', 0.8571428571428571)]",TRUE,
청년공제 가입시 자격,263,263,similarity,"[('청년공제 가입자격', 0.9)]",TRUE,
청년내일채움공제 가입 처리 절차,3,3,similarity,"[('청년내일채움공제 가입 진행 절차', 0.8823529411764706), ('청년내일채움공제 가입시 절차', 0.875), ('청년내일채움공제 가입절차', 0.8666666666666667)]",TRUE,
청년내일채움공제 가입 절차 찾아줘,3,3,similarity,"[('청년내일채움공제 가입절차 알려줘', 0.8571428571428571)]",TRUE,
청년내일채움공제 만기 이후 청년재직자 가입 가능한지,94,94,similarity,"[('청년내일채움공제 만기 후 청년재직자 가입가능여부', 0.8888888888888888)]",TRUE,
청년재직자 내일채움공제 가입하려면 급여 기준도 충족해야 돼?,143,143,similarity,"[('청년재직자 내일채움공제 가입하려면 연봉기준도 충족해야 되나요?', 0.8656716417910447)]",TRUE,
청약 신청할 때 필요한 서류는 어떻게 발급받지?,40,40,similarity,"[('청약 신청할 때 필수 서류는 어떻게 발급받지?', 0.9411764705882353)]",TRUE,
청약신청 마감기한 관련 규칙,194,194,similarity,"[('청약신청 마감 관련 규칙', 0.9285714285714286), ('청약신청 마감기한 관련 정보', 0.8666666666666667)]",TRUE,
지난 행정처분효력정지가처분소송 결론 내용 보기,214,214,similarity,"[('최근 행정처분효력정지가처분소송 결정문 내용 보기', 0.8627450980392157)]",TRUE,
추심금청구소송 판례 모두 보기,195,195,similarity,"[('추심금청구소송 관련 판례 모두 보기', 0.9142857142857143), ('전부금청구소송 판례 모두 보기', 0.875)]",TRUE,
